"Fixed","Stała"
"Select a shipping method","Wybierz metodę wysyłki"
"Our products","Nasze produkty"
"View as  %1","Widok %1"
"Grid","Siatka"
"List","Lista"
"Product Comparison","Porównanie produktów"
"Remove Product","Usuń produkt"
"Recently Viewed Products","Ostatnio oglądane produkty"
"New Products","Nowe produkty"
"You must login or register to add items to your wishlist.","Musisz się zalogować lub zarejestrować, aby dodawać produkty do listy życzeń."
"Adding...","Dodawanie..."
"Are you sure you want to leave the page?","Czy na pewno chcesz opuścić tę stronę?"
"Are you sure you want to remove all items from your shopping cart?","Czy na pewno chcesz usunąć wszystkie produkty z koszyka?"
"Changes you made to the cart will not be saved.","Zmiany wprowadzone w koszyku nie zostaną zapisane."
"Could not authenticate. Please try again later","Nie udało się uwierzytelnić. Spróbuj ponownie później"
"We can't find products matching the selection.","Nie znaleziono produktów spełniających kryteria."
"We'll email you an order confirmation with details and tracking info.","Wyślemy Ci e-mailem potwierdzenie zamówienia ze szczegółami i informacjami o śledzeniu przesyłki."
"You aren't subscribed to our newsletter.","Nie jesteś zapisany do naszego newslettera."
"You're currently reading page","Aktualnie czytasz stronę"
"item","produkt"
"items","produkty"
"star","gwiazdka"
"stars","gwiazdki"
"Page","Strona"
"Rating","Ocena"
"Medium","Średnie"
"Strong","Silne"
"Weak","Słabe"
"What's this?","Co to jest?"
"You're reviewing:","Oceniasz:"
"It's a default billing address.","To jest domyślny adres rozliczeniowy."
"It's a default shipping address.","To jest domyślny adres wysyłki."
"Street Address","Adres ulicy"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Tylko zarejestrowani użytkownicy mogą pisać opinie. <a href=""%1"">Zaloguj się</a> lub <a href=""%2"">utwórz konto</a>"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Konto z tym adresem e-mail już istnieje. Jeśli to Twój adres e-mail, <a href=""%1"">kliknij tutaj</a>, aby odzyskać hasło i uzyskać dostęp do konta."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Musisz potwierdzić konto. Sprawdź e-mail w poszukiwaniu linku potwierdzającego lub <a href=""%1"">kliknij tutaj</a>, aby otrzymać nowy link."
"Click <a href=""%1"">here</a> to continue shopping.","<a href=""%1"">Kliknij tutaj</a>, aby kontynuować zakupy."
"Your order # is: <span>%1</span>.","Numer Twojego zamówienia: <span>%1</span>."
"Your order number is: %1.","Numer Twojego zamówienia: %1."
"%1 has been added to your Wish List.","Produkt %1 został dodany do listy życzeń."
"%1 has been removed from your Wish List.","Produkt %1 został usunięty z listy życzeń."
"Welcome, %1!","Witaj, %1!"
"Maximum %1 characters","Maksymalnie %1 znaków"
"Product Review","Opinia o produkcie"
"Submitted on %1","Dodano %1"
"Refund #%1","Zwrot #%1"
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Jeśli jesteś zarejestrowanym podatnikiem VAT, <a href=""%1"">kliknij tutaj</a>, aby podać adres rozliczeniowy do prawidłowego obliczenia VAT."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Jeśli jesteś zarejestrowanym podatnikiem VAT, <a href=""%1"">kliknij tutaj</a>, aby podać adres wysyłki do prawidłowego obliczenia VAT."
"Please select a rating","Proszę wybrać ocenę"
"Your review has been submitted for moderation.","Twoja opinia została przesłana do moderacji."
"First Name","Imię"
"Last Name","Nazwisko"
"Company","Firma"
"Phone Number","Numer telefonu"
"Street Address: Line %1","Adres: Linia %1"
"City","Miasto"
"State/Province","Województwo"
"Zip/Postal Code","Kod pocztowy"
"Country","Kraj"
"Please specify a valid customer.","Proszę wskazać prawidłowego klienta."
"Please enter less or equal than %1 symbols.","Proszę wpisać nie więcej niż %1 znaków."
"Please enter more or equal than %1 symbols.","Proszę wpisać co najmniej %1 znaków."
"Your password must include both numeric and alphabetic characters.","Hasło musi zawierać zarówno cyfry, jak i litery."
"Passwords don't match.","Hasła nie są zgodne."
"Please wait, loading...","Proszę czekać, ładowanie..."
"Please choose to register or to checkout as a guest.","Wybierz rejestrację lub zakup jako gość."
"Your order has been successfully created!","Twoje zamówienie zostało pomyślnie złożone!"
"Print","Drukuj"
"Reorder","Zamów ponownie"
"Status","Status"
"Date","Data"
"Ship To","Wyślij do"
"Order Total","Suma zamówienia"
"View Order","Zobacz zamówienie"
"Track All Shipments","Śledź wszystkie przesyłki"
"RSS link to %1's wishlist","Link RSS do listy życzeń użytkownika %1"
"Share Wish List","Udostępnij listę życzeń"
"Last Ordered Items","Ostatnio zamówione produkty"
"Add All to Cart","Dodaj wszystkie do koszyka"
"My Orders","Moje zamówienia"
"My Downloadable Products","Moje produkty do pobrania"
"My Wish List","Moja lista życzeń"
"Address Book","Książka adresowa"
"Account Information","Informacje o koncie"
"Stored Payment Methods","Zapisane metody płatności"
"My Product Reviews","Moje opinie o produktach"
"Newsletter Subscriptions","Subskrypcje newslettera"
"Default Billing Address","Domyślny adres rozliczeniowy"
"Default Shipping Address","Domyślny adres wysyłki"
"Edit Address","Edytuj adres"
"Change Password","Zmień hasło"
"Confirm New Password","Potwierdź nowe hasło"
"New Password","Nowe hasło"
"Current Password","Aktualne hasło"
"Show Password","Pokaż hasło"
"Minimum of different classes of characters in password is %1.","Minimalna liczba różnych klas znaków w haśle to %1."
"No reviews yet","Brak opinii"
"See All Reviews","Zobacz wszystkie opinie"
